geoName,interest,candidate,date_collect,dateid
Midi-Pyrénées,0,gkuzmanovic,20211121_0800,20211121
Nord-Pas-de-Calais,0,gkuzmanovic,20211121_0800,20211121
Pays de la Loire,0,gkuzmanovic,20211121_0800,20211121
Picardie,0,gkuzmanovic,20211121_0800,20211121
Poitou-Charentes,0,gkuzmanovic,20211121_0800,20211121
Provence-Alpes-Côte d'Azur,0,gkuzmanovic,20211121_0800,20211121
Rhône-Alpes,0,gkuzmanovic,20211121_0800,20211121
Île-de-France,0,gkuzmanovic,20211121_0800,20211121
Alsace,0,gkuzmanovic,20211121_0900,20211121
Aquitaine,0,gkuzmanovic,20211121_0900,20211121
Auvergne,0,gkuzmanovic,20211121_0900,20211121
Basse-Normandie,0,gkuzmanovic,20211121_0900,20211121
Bourgogne,0,gkuzmanovic,20211121_0900,20211121
Bretagne,0,gkuzmanovic,20211121_0900,20211121
Centre-Val de Loire,0,gkuzmanovic,20211121_0900,20211121
Champagne-Ardenne,0,gkuzmanovic,20211121_0900,20211121
Corse,0,gkuzmanovic,20211121_0900,20211121
Franche-Comté,0,gkuzmanovic,20211121_0900,20211121
Haute-Normandie,0,gkuzmanovic,20211121_0900,20211121
Languedoc-Roussillon,0,gkuzmanovic,20211121_0900,20211121
Limousin,0,gkuzmanovic,20211121_0900,20211121
Lorraine,0,gkuzmanovic,20211121_0900,20211121
Midi-Pyrénées,0,gkuzmanovic,20211121_0900,20211121
Nord-Pas-de-Calais,0,gkuzmanovic,20211121_0900,20211121
Pays de la Loire,0,gkuzmanovic,20211121_0900,20211121
Picardie,0,gkuzmanovic,20211121_0900,20211121
Poitou-Charentes,0,gkuzmanovic,20211121_0900,20211121
Provence-Alpes-Côte d'Azur,0,gkuzmanovic,20211121_0900,20211121
Rhône-Alpes,0,gkuzmanovic,20211121_0900,20211121
Île-de-France,0,gkuzmanovic,20211121_0900,20211121
Alsace,0,gkuzmanovic,20211121_1000,20211121
Aquitaine,0,gkuzmanovic,20211121_1000,20211121
Auvergne,0,gkuzmanovic,20211121_1000,20211121
Basse-Normandie,0,gkuzmanovic,20211121_1000,20211121
Bourgogne,0,gkuzmanovic,20211121_1000,20211121
Bretagne,0,gkuzmanovic,20211121_1000,20211121
Centre-Val de Loire,0,gkuzmanovic,20211121_1000,20211121
Champagne-Ardenne,0,gkuzmanovic,20211121_1000,20211121
Corse,0,gkuzmanovic,20211121_1000,20211121
Franche-Comté,0,gkuzmanovic,20211121_1000,20211121
Haute-Normandie,0,gkuzmanovic,20211121_1000,20211121
Languedoc-Roussillon,0,gkuzmanovic,20211121_1000,20211121
Limousin,0,gkuzmanovic,20211121_1000,20211121
Lorraine,0,gkuzmanovic,20211121_1000,20211121
Midi-Pyrénées,0,gkuzmanovic,20211121_1000,20211121
Nord-Pas-de-Calais,0,gkuzmanovic,20211121_1000,20211121
Pays de la Loire,0,gkuzmanovic,20211121_1000,20211121
Picardie,0,gkuzmanovic,20211121_1000,20211121
Poitou-Charentes,0,gkuzmanovic,20211121_1000,20211121
Provence-Alpes-Côte d'Azur,0,gkuzmanovic,20211121_1000,20211121
Rhône-Alpes,0,gkuzmanovic,20211121_1000,20211121
Île-de-France,0,gkuzmanovic,20211121_1000,20211121
Alsace,0,gkuzmanovic,20211121_1100,20211121
Aquitaine,0,gkuzmanovic,20211121_1100,20211121
Auvergne,0,gkuzmanovic,20211121_1100,20211121
Basse-Normandie,0,gkuzmanovic,20211121_1100,20211121
Bourgogne,0,gkuzmanovic,20211121_1100,20211121
Bretagne,0,gkuzmanovic,20211121_1100,20211121
Centre-Val de Loire,0,gkuzmanovic,20211121_1100,20211121
Champagne-Ardenne,0,gkuzmanovic,20211121_1100,20211121
Corse,0,gkuzmanovic,20211121_1100,20211121
Franche-Comté,0,gkuzmanovic,20211121_1100,20211121
Haute-Normandie,0,gkuzmanovic,20211121_1100,20211121
Languedoc-Roussillon,0,gkuzmanovic,20211121_1100,20211121
Limousin,0,gkuzmanovic,20211121_1100,20211121
Lorraine,0,gkuzmanovic,20211121_1100,20211121
Midi-Pyrénées,0,gkuzmanovic,20211121_1100,20211121
Nord-Pas-de-Calais,0,gkuzmanovic,20211121_1100,20211121
Pays de la Loire,0,gkuzmanovic,20211121_1100,20211121
Picardie,0,gkuzmanovic,20211121_1100,20211121
Poitou-Charentes,0,gkuzmanovic,20211121_1100,20211121
Provence-Alpes-Côte d'Azur,0,gkuzmanovic,20211121_1100,20211121
Rhône-Alpes,0,gkuzmanovic,20211121_1100,20211121
Île-de-France,0,gkuzmanovic,20211121_1100,20211121
Alsace,0,gkuzmanovic,20211121_1200,20211121
Aquitaine,0,gkuzmanovic,20211121_1200,20211121
Auvergne,0,gkuzmanovic,20211121_1200,20211121
Basse-Normandie,0,gkuzmanovic,20211121_1200,20211121
Bourgogne,0,gkuzmanovic,20211121_1200,20211121
Bretagne,0,gkuzmanovic,20211121_1200,20211121
Centre-Val de Loire,0,gkuzmanovic,20211121_1200,20211121
Champagne-Ardenne,0,gkuzmanovic,20211121_1200,20211121
Corse,0,gkuzmanovic,20211121_1200,20211121
Franche-Comté,0,gkuzmanovic,20211121_1200,20211121
Haute-Normandie,0,gkuzmanovic,20211121_1200,20211121
Languedoc-Roussillon,0,gkuzmanovic,20211121_1200,20211121
Limousin,0,gkuzmanovic,20211121_1200,20211121
Lorraine,0,gkuzmanovic,20211121_1200,20211121
Midi-Pyrénées,0,gkuzmanovic,20211121_1200,20211121
Nord-Pas-de-Calais,0,gkuzmanovic,20211121_1200,20211121
Pays de la Loire,0,gkuzmanovic,20211121_1200,20211121
Picardie,0,gkuzmanovic,20211121_1200,20211121
Poitou-Charentes,0,gkuzmanovic,20211121_1200,20211121
Provence-Alpes-Côte d'Azur,0,gkuzmanovic,20211121_1200,20211121
Rhône-Alpes,0,gkuzmanovic,20211121_1200,20211121
Île-de-France,0,gkuzmanovic,20211121_1200,20211121
Alsace,0,gkuzmanovic,20211121_1300,20211121
Aquitaine,0,gkuzmanovic,20211121_1300,20211121
Auvergne,0,gkuzmanovic,20211121_1300,20211121
Basse-Normandie,0,gkuzmanovic,20211121_1300,20211121
Bourgogne,0,gkuzmanovic,20211121_1300,20211121
Bretagne,0,gkuzmanovic,20211121_1300,20211121
Centre-Val de Loire,0,gkuzmanovic,20211121_1300,20211121
Champagne-Ardenne,0,gkuzmanovic,20211121_1300,20211121
Corse,0,gkuzmanovic,20211121_1300,20211121
Franche-Comté,0,gkuzmanovic,20211121_1300,20211121
Haute-Normandie,0,gkuzmanovic,20211121_1300,20211121
Languedoc-Roussillon,0,gkuzmanovic,20211121_1300,20211121
Limousin,0,gkuzmanovic,20211121_1300,20211121
Lorraine,0,gkuzmanovic,20211121_1300,20211121
Midi-Pyrénées,0,gkuzmanovic,20211121_1300,20211121
Nord-Pas-de-Calais,0,gkuzmanovic,20211121_1300,20211121
Pays de la Loire,0,gkuzmanovic,20211121_1300,20211121
Picardie,0,gkuzmanovic,20211121_1300,20211121
Poitou-Charentes,0,gkuzmanovic,20211121_1300,20211121
Provence-Alpes-Côte d'Azur,0,gkuzmanovic,20211121_1300,20211121
Rhône-Alpes,0,gkuzmanovic,20211121_1300,20211121
Île-de-France,0,gkuzmanovic,20211121_1300,20211121
Alsace,0,gkuzmanovic,20211121_1400,20211121
Aquitaine,0,gkuzmanovic,20211121_1400,20211121
Auvergne,0,gkuzmanovic,20211121_1400,20211121
Basse-Normandie,0,gkuzmanovic,20211121_1400,20211121
Bourgogne,0,gkuzmanovic,20211121_1400,20211121
Bretagne,0,gkuzmanovic,20211121_1400,20211121
Centre-Val de Loire,0,gkuzmanovic,20211121_1400,20211121
Champagne-Ardenne,0,gkuzmanovic,20211121_1400,20211121
Corse,0,gkuzmanovic,20211121_1400,20211121
Franche-Comté,0,gkuzmanovic,20211121_1400,20211121
Haute-Normandie,0,gkuzmanovic,20211121_1400,20211121
Languedoc-Roussillon,0,gkuzmanovic,20211121_1400,20211121
Limousin,0,gkuzmanovic,20211121_1400,20211121
Lorraine,0,gkuzmanovic,20211121_1400,20211121
Midi-Pyrénées,0,gkuzmanovic,20211121_1400,20211121
Nord-Pas-de-Calais,0,gkuzmanovic,20211121_1400,20211121
Pays de la Loire,0,gkuzmanovic,20211121_1400,20211121
Picardie,0,gkuzmanovic,20211121_1400,20211121
Poitou-Charentes,0,gkuzmanovic,20211121_1400,20211121
Provence-Alpes-Côte d'Azur,0,gkuzmanovic,20211121_1400,20211121
Rhône-Alpes,0,gkuzmanovic,20211121_1400,20211121
Île-de-France,0,gkuzmanovic,20211121_1400,20211121
Alsace,0,gkuzmanovic,20211121_1500,20211121
Aquitaine,0,gkuzmanovic,20211121_1500,20211121
Auvergne,0,gkuzmanovic,20211121_1500,20211121
Basse-Normandie,0,gkuzmanovic,20211121_1500,20211121
Bourgogne,0,gkuzmanovic,20211121_1500,20211121
Bretagne,0,gkuzmanovic,20211121_1500,20211121
Centre-Val de Loire,0,gkuzmanovic,20211121_1500,20211121
Champagne-Ardenne,0,gkuzmanovic,20211121_1500,20211121
Corse,0,gkuzmanovic,20211121_1500,20211121
Franche-Comté,0,gkuzmanovic,20211121_1500,20211121
Haute-Normandie,0,gkuzmanovic,20211121_1500,20211121
Languedoc-Roussillon,0,gkuzmanovic,20211121_1500,20211121
Limousin,0,gkuzmanovic,20211121_1500,20211121
Lorraine,0,gkuzmanovic,20211121_1500,20211121
